asset_symbol,aave_asset_address,chainlink_contract_address
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xA5e3A55cEa42B86560a5215094981c300899199D
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc9E1a09622afdB659913fefE800fEaE5DBbFe9d7
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,0x709783ab12b65fD6cd948214EEe6448f3BdD72A3
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,0x64c67984A458513C6BAb23a815916B1b1075cf3a
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xcd07B31D85756098334eDdC92DE755dEae8FE62f
cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d5F4aADf3fde31BBB55dB5F42C080F18aD54Df5
rETH,0xae78736cd615f374d3085123a210448e74fc6393,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
LUSD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x36A0448c46AaE145dD5BC320D5153426a2a586F5
CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,0xdA0DA298550E8E449b935CEA865c8100F3cA1b73
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xe9a6BCCdE4875F8c1228975F9c84598558a75AC8
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xc778E9686F0fde6Fe4D7d8fE4B481463Fce898fD
BAL,0xba100000625a3754423978a60c9317c58a424e3d,0x2a29c3696dD424d3e703F5F3f2D6Af86598e9303
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xdEf8C51d7c1040637A198efFc39613865B32EA51
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xfc7b00A255f24C979BA96135e11B58bD6F693Ec4
ENS,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0x6Cc5173Ffd8d674C64f2DC7237730Ff021829865
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,0x6AD3961c0348906504ff4125722e4Aa5146ff529
FRAX,0x853d955acef822db058eb8505911ed77f175b99e,0x8F73090a7c58B8BDcC9A93cBB6816e5cC4f01E8c
GHO,0x40d16fc0246ad3160ccc09b8d0d3a2cd28ae6c2f,0xff221Bf2E61B62182210b3d42dE7f77da5b5b41F
RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0x92455F206F6433f161c09a31B0E02A195AFcf23c
sDAI,0x83f20f44975d03b1b09e64809b757c47f942beea,0x709783ab12b65fD6cd948214EEe6448f3BdD72A3
STG,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0xFe5AFc4225E2626EB40Ca11A59962eBEEeb09E76
KNC,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0x15D8Aac71A442ece966576c85438B0DFa7FcAbe1
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,0xc1c54D09554Cf65d74a289805c2731cf6EA57373
crvUSD,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0xf3A0a2363Ee3e5FC1CcF923F4eA9c06BaC1A6834
PYUSD,0x6c3ea9036406852006290770bedfcaba0e23a0e8,0x39E31761911b9aaBAEF5fb81B18Fd1C24a60E884
weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
osETH,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0d5F4aADf3fde31BBB55dB5F42C080F18aD54Df5
ETHx,0xa35b1b31ce002fbf2058d22f30f95d405200a15b,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0d5F4aADf3fde31BBB55dB5F42C080F18aD54Df5
tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,0xdc715c751f1cc129A6b47fEDC87D9918a4580502
cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4a3411ac2948B33c69666B35cc6d055B27Ea84f1
USDS,0xdc035d45d973e3ec169d2276ddab16f1e407384f,0x709783ab12b65fD6cd948214EEe6448f3BdD72A3
rsETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,0x7d4E742018fb52E48b08BE73d041C18B21de6Fb5
LBTC,0x8236a87084f8b84306f72007f36f2618a5634494,0xdc715c751f1cc129A6b47fEDC87D9918a4580502
